Platform,Title,Author,Language,Architecture,Difficulty,Quality,Challenge_URL,Writeup_URL
Multiplatform,A real test for a professional,misha_2007,C/C++,x86-64,2.5,4,https://crackmes.one/crackme/6a17349ed7ff92e1214c020d,https://crackmes.one/static/solution/6a17eb962b3df128c1df5cdd.zip
Multiplatform,CryMore,b0bd0g,C/C++,x86,1.3,4,https://crackmes.one/crackme/69778aa352ed08086d855c77,https://crackmes.one/static/solution/697bb23c83deb66b1402dbb8.zip
Multiplatform,Enigma CrackMe v1.0,ryndrka,C/C++,x86-64,3,3.7,https://crackmes.one/crackme/69e588308afd9d6c48b48962,https://crackmes.one/static/solution/69ea9ece17539b5175d1207d.zip
Multiplatform,hekliet keygenme #1,hekliet,C/C++,x86-64,3,4,https://crackmes.one/crackme/69b854d8f2d49d8512f64a7c,https://crackmes.one/static/solution/69b97a7b3e328e778db05178.zip
Multiplatform,Spaghetti,aj21h,C/C++,x86-64,5.3,5.3,https://crackmes.one/crackme/69f4d57e2b3df128c1df5ab7,https://crackmes.one/static/solution/6a0692ea17539b5175d1228f.zip
Unix/linux etc.,AI - Almost Impossible,victormeloasm,C/C++,x86-64,5,4,https://crackmes.one/crackme/69d6e9ba49fa49a2a26023a7,https://crackmes.one/static/solution/69e3bef3643676f8bb961d37.zip
Unix/linux etc.,ASCII_CRACK,QERR0R,C/C++,x86-64,2.1,4.7,https://crackmes.one/crackme/69a806c17b3cc38c80464e06,https://crackmes.one/static/solution/69aa850c0f5b9757a6a5f792.zip
Unix/linux etc.,c,Toronto,C/C++,x86-64,1.6,3.7,https://crackmes.one/crackme/69e352c2643676f8bb961d2e,https://crackmes.one/static/solution/69e63b8c8afd9d6c48b4899a.zip
Unix/linux etc.,catgirl.crack,ended,.NET,x86-64,1,4.5,https://crackmes.one/crackme/69b282cff2d49d8512f649df,https://crackmes.one/static/solution/69b6601e6793d479be018da0.zip
Unix/linux etc.,choose-your-own-adventure,wrenches,C/C++,x86-64,4,4.5,https://crackmes.one/crackme/697f81c0e04ca145cd9d13c9,https://crackmes.one/static/solution/6a14f83d17539b5175d1237e.zip
Unix/linux etc.,crackit,QERR0R,C/C++,x86-64,2.4,4,https://crackmes.one/crackme/69a65b6c7a778cfffbfb680e,https://crackmes.one/static/solution/69a814d3fbfe0ef21de94634.zip
Unix/linux etc.,CrackIt;),QERR0R,C/C++,x86-64,1.6,4.2,https://crackmes.one/crackme/69a65ee60f5b9757a6a5f73f,https://crackmes.one/static/solution/69a7023bfbfe0ef21de9461e.zip
Unix/linux etc.,Crackmes.one RE CTF 2026 - wallpaper,jeffli6789,Assembler,x86-64,3.5,4.5,https://crackmes.one/crackme/69a2911b7a778cfffbfb67ca,https://crackmes.one/static/solution/69b660366793d479be018da8.zip
Unix/linux etc.,DebugMe,Ben_Lolo,C/C++,x86-64,2,4,https://crackmes.one/crackme/69f50fd517539b5175d12188,https://crackmes.one/static/solution/69f8f1b217539b5175d121c4.zip
Unix/linux etc.,FindLicenseKey,vodeff,C/C++,x86-64,1.8,3.7,https://crackmes.one/crackme/6a2c61c06840520e01b21e2d,https://crackmes.one/static/solution/6a30e53939dd6183d62b9d1c.zip
Unix/linux etc.,FlipVM,Ben_Lolo,C/C++,x86-64,4,4,https://crackmes.one/crackme/69dc3b32b38f9259eec7eb56,https://crackmes.one/static/solution/69f133993fba64e45dcea92d.zip
Unix/linux etc.,InputPrinter,khaledddd,C/C++,x86-64,2,4,https://crackmes.one/crackme/69fc5a3a3fba64e45dcea9ed,https://crackmes.one/static/solution/6a0c74b217539b5175d122f5.zip
Unix/linux etc.,luv4u,svidnet,C/C++,x86-64,5.5,5,https://crackmes.one/crackme/69889a90fb46458f1ef6cecf,https://crackmes.one/static/solution/69b94b68ddd6176826ae8a30.zip
Unix/linux etc.,Not to simple KeyGen V2,howosec,C/C++,x86-64,3,4,https://crackmes.one/crackme/69a1f44218b5d7ee4709351d,https://crackmes.one/static/solution/69a4a948fbfe0ef21de945ff.zip
Unix/linux etc.,notes,toasterbirb,C/C++,x86-64,2.5,4.5,https://crackmes.one/crackme/69a20bf018b5d7ee47093527,https://crackmes.one/static/solution/69a350d10f5b9757a6a5f710.zip
Unix/linux etc.,Prometheora,SoBrazen,Rust,x86-64,6,4,https://crackmes.one/crackme/697e95cb977274421cc111e1,https://crackmes.one/static/solution/699fe6a36ca15990509506ba.zip
Unix/linux etc.,Quite a simple crackme,sftmlg,C/C++,x86-64,1.1,4,https://crackmes.one/crackme/697f761b32fcb81e1bd005c6,https://crackmes.one/static/solution/69826baa83deb66b1402dc3b.zip
